File,Task,Category
g5pA_taska.txt,a,heavy
g5pB_taskc.txt,c,light
g8pI_taskb.txt,b,non
g0pJ_taskb.txt,b,non
g2pG_taske.txt,e,non
g5pH_taskc.txt,c,light
g4pA_taskd.txt,d,light
g2pJ_taskb.txt,b,light
g4pA_taska.txt,a,cut
g1pB_taskc.txt,c,light
g5pJ_taska.txt,a,non
g9pC_taskd.txt,d,cut
g0pJ_taskd.txt,d,heavy
g3pB_taske.txt,e,non
g6pF_taskc.txt,c,non
g1pD_taskc.txt,c,light
g5pA_taskc.txt,c,heavy
g3pB_taska.txt,a,non
g8pJ_taskc.txt,c,non
g0pG_taskc.txt,c,cut
g9pH_taskb.txt,b,cut
g8pG_taskb.txt,b,non
g6pB_taske.txt,e,non
g0pA_taskd.txt,d,non
g3pB_taske.txt,e,cut
g5pE_taskc.txt,c,light
g8pE_taskc.txt,c,light
g5pB_taskb.txt,b,cut
g3pC_taskb.txt,b,non
g3pG_taskc.txt,c,heavy
g8pG_taskc.txt,c,cut
g7pB_taskb.txt,b,heavy
g0pA_taske.txt,e,cut
g0pI_taska.txt,a,non
g2pJ_taskb.txt,b,non
g1pA_taske.txt,e,light
g2pF_taske.txt,e,non
g4pJ_taske.txt,e,non
g1pC_taske.txt,e,cut
g1pC_taskd.txt,d,non
g2pJ_taskd.txt,d,non
g1pI_taska.txt,a,heavy
g7pF_taskd.txt,d,non
g6pI_taskb.txt,b,cut
g5pC_taskc.txt,c,heavy
g3pG_taska.txt,a,cut
g1pH_taskb.txt,b,light
g0pC_taskc.txt,c,heavy
g4pJ_taskd.txt,d,light
g4pC_taskb.txt,b,heavy
g5pH_taskc.txt,c,light
g8pB_taskb.txt,b,non
g3pC_taskd.txt,d,heavy
g4pI_taskb.txt,b,cut
g6pE_taskc.txt,c,cut
g9pG_taskb.txt,b,heavy
g6pE_taskb.txt,b,non
g7pF_taskb.txt,b,non
g6pA_taskc.txt,c,non
g4pI_taskc.txt,c,cut
g5pF_taskc.txt,c,non
g5pC_taskc.txt,c,heavy
g7pE_taskd.txt,d,non
g1pB_taskc.txt,c,light
g9pI_taske.txt,e,light
g9pI_taske.txt,e,non
g6pB_taska.txt,a,cut
g9pC_taskd.txt,d,cut
g9pC_taska.txt,a,light
g2pH_taske.txt,e,cut
g6pF_taskb.txt,b,non
g6pJ_taska.txt,a,non
g9pJ_taskd.txt,d,non
g9pI_taska.txt,a,non
g7pF_taska.txt,a,non
g0pC_taskb.txt,b,cut
g0pB_taskc.txt,c,cut
g6pC_taska.txt,a,non
g1pI_taskd.txt,d,non
g6pA_taska.txt,a,non
g1pI_taskd.txt,d,cut
g0pH_taskc.txt,c,cut
g2pF_taske.txt,e,non
g4pC_taskb.txt,b,heavy
g4pH_taska.txt,a,light
g8pD_taskd.txt,d,cut
g5pI_taska.txt,a,cut
g3pI_taske.txt,e,non
g8pH_taskb.txt,b,cut
g3pC_taskd.txt,d,heavy
g7pA_taskb.txt,b,light
g6pJ_taskb.txt,b,heavy
g7pF_taskd.txt,d,non
g1pE_taska.txt,a,non
g1pG_taskb.txt,b,cut
g0pJ_taskc.txt,c,light
g2pA_taske.txt,e,cut
g6pB_taske.txt,e,light
g4pA_taska.txt,a,non
g9pF_taska.txt,a,non
g6pD_taska.txt,a,cut
g5pE_taska.txt,a,cut
g6pJ_taska.txt,a,non
g1pE_taskd.txt,d,non
g3pH_taske.txt,e,non
g2pA_taske.txt,e,heavy
g9pA_taska.txt,a,non
g3pG_taskb.txt,b,heavy
g1pI_taskc.txt,c,light
g3pE_taska.txt,a,cut
g3pD_taska.txt,a,cut
g2pC_taskb.txt,b,non
g8pE_taskd.txt,d,cut
g0pE_taskd.txt,d,non
g5pE_taskb.txt,b,light
g4pF_taske.txt,e,non
g1pE_taska.txt,a,non
g9pD_taske.txt,e,heavy
g7pD_taskd.txt,d,non
g0pC_taskd.txt,d,light
g2pE_taskc.txt,c,light
g2pE_taske.txt,e,non
g2pJ_taske.txt,e,cut
g5pJ_taskd.txt,d,heavy
g8pC_taska.txt,a,non
g7pG_taskd.txt,d,cut
g3pB_taskc.txt,c,cut
g9pA_taskc.txt,c,cut
g0pA_taskd.txt,d,heavy
g5pG_taskd.txt,d,heavy
g9pF_taskc.txt,c,non
g2pD_taska.txt,a,heavy
g2pE_taskc.txt,c,cut
g5pI_taske.txt,e,non
g1pI_taska.txt,a,heavy
g2pJ_taskb.txt,b,non
g8pE_taskb.txt,b,light
g6pI_taska.txt,a,non
g4pA_taskd.txt,d,cut
g4pI_taskb.txt,b,cut
g9pA_taske.txt,e,cut
g8pJ_taskb.txt,b,non
g7pF_taskb.txt,b,non
g5pJ_taskd.txt,d,light
g8pG_taskd.txt,d,heavy
g7pA_taskc.txt,c,heavy
g0pG_taske.txt,e,non
g3pD_taske.txt,e,non
g4pD_taskd.txt,d,cut
g0pI_taskc.txt,c,light
g1pJ_taskd.txt,d,non
g4pJ_taskb.txt,b,non
g1pI_taskb.txt,b,heavy
g5pD_taska.txt,a,non
g4pJ_taska.txt,a,non
g3pF_taske.txt,e,non
g5pE_taskd.txt,d,cut
g6pA_taskc.txt,c,cut
g8pF_taskb.txt,b,non
g0pE_taskc.txt,c,cut
g0pB_taskb.txt,b,heavy
g1pH_taske.txt,e,non
g9pB_taskd.txt,d,non
g3pI_taskb.txt,b,non
g6pA_taskd.txt,d,light
g7pC_taskd.txt,d,heavy
g1pC_taskc.txt,c,heavy
g7pC_taskb.txt,b,non
g5pC_taskd.txt,d,cut
g2pE_taska.txt,a,cut
g6pB_taskb.txt,b,non
g0pG_taska.txt,a,cut
g5pJ_taskb.txt,b,heavy
g8pB_taskc.txt,c,non
g7pC_taske.txt,e,cut
g7pG_taske.txt,e,heavy
g3pE_taskd.txt,d,non
g4pI_taska.txt,a,non
g2pC_taska.txt,a,non
g5pF_taska.txt,a,non
g5pF_taskd.txt,d,non
g8pG_taska.txt,a,non
g8pJ_taskb.txt,b,heavy
g8pC_taske.txt,e,non
g6pB_taskc.txt,c,heavy
g7pH_taske.txt,e,non
g3pC_taska.txt,a,non
g3pJ_taske.txt,e,heavy
g4pE_taska.txt,a,non
g8pE_taske.txt,e,non
g4pI_taske.txt,e,non
g6pJ_taskd.txt,d,heavy
g4pD_taske.txt,e,cut
g6pH_taskc.txt,c,cut
g4pI_taskc.txt,c,light
g4pI_taskb.txt,b,non
g7pA_taska.txt,a,non
g8pE_taskd.txt,d,cut
g6pD_taske.txt,e,cut
g6pF_taskb.txt,b,non
g5pE_taska.txt,a,heavy
g3pG_taske.txt,e,non
g2pA_taskb.txt,b,non
g5pD_taskd.txt,d,cut
g4pC_taske.txt,e,cut
g2pC_taskb.txt,b,heavy
g5pJ_taske.txt,e,heavy
g4pE_taskc.txt,c,non
g9pA_taskc.txt,c,non
g2pD_taske.txt,e,non
g2pB_taske.txt,e,non
g6pH_taskd.txt,d,non
g9pD_taskc.txt,c,non
g8pJ_taskb.txt,b,non
g2pA_taska.txt,a,cut
g5pD_taskb.txt,b,non
g7pE_taske.txt,e,cut
g8pJ_taskb.txt,b,non
g2pD_taskd.txt,d,non
g1pB_taske.txt,e,light
g2pF_taskb.txt,b,non
g2pE_taske.txt,e,non
g7pB_taskb.txt,b,cut
g3pE_taskc.txt,c,non
g1pC_taskc.txt,c,heavy
g4pE_taska.txt,a,heavy
g6pH_taske.txt,e,non
g8pB_taske.txt,e,cut
g9pE_taska.txt,a,non
g7pI_taskd.txt,d,cut
g8pD_taskb.txt,b,non
g0pC_taskc.txt,c,heavy
g4pJ_taskd.txt,d,non
g9pJ_taska.txt,a,heavy
g8pA_taska.txt,a,cut
g6pI_taska.txt,a,non
g9pG_taske.txt,e,cut
g8pF_taskd.txt,d,non
g8pG_taskd.txt,d,cut
g9pA_taskd.txt,d,non
g2pI_taskc.txt,c,light
g5pE_taske.txt,e,heavy
g6pD_taske.txt,e,cut
g7pH_taska.txt,a,light
g5pI_taska.txt,a,light
g4pF_taskc.txt,c,non
g3pC_taske.txt,e,heavy
g4pC_taskd.txt,d,light
g5pG_taskb.txt,b,light
g0pG_taske.txt,e,heavy
g7pA_taskb.txt,b,non
g3pD_taskd.txt,d,heavy
g8pD_taskc.txt,c,light
g7pF_taskc.txt,c,non
g0pE_taskc.txt,c,cut
g9pB_taskc.txt,c,cut
g1pI_taske.txt,e,cut
g0pD_taskc.txt,c,heavy
g1pJ_taska.txt,a,light
g9pF_taska.txt,a,light
g7pH_taska.txt,a,non
g6pF_taskd.txt,d,heavy
g3pC_taska.txt,a,non
g1pJ_taska.txt,a,non
g0pD_taske.txt,e,non
g0pD_taskb.txt,b,light
g1pF_taskc.txt,c,cut
g2pC_taskc.txt,c,light
g1pI_taske.txt,e,cut
g4pJ_taskd.txt,d,cut
g6pF_taskb.txt,b,non
g2pE_taske.txt,e,non
g3pA_taska.txt,a,cut
g4pG_taske.txt,e,non
g9pF_taska.txt,a,non
g5pD_taskb.txt,b,light
g0pH_taskd.txt,d,non
g5pJ_taskd.txt,d,heavy
g4pH_taske.txt,e,non
g8pJ_taska.txt,a,light
g3pJ_taske.txt,e,light
g9pG_taske.txt,e,non
g8pI_taskb.txt,b,heavy
g2pD_taska.txt,a,non
g9pG_taskc.txt,c,non
g0pG_taske.txt,e,cut
g3pG_taske.txt,e,non
g8pB_taskd.txt,d,cut
g0pI_taska.txt,a,cut
g2pF_taskb.txt,b,non
g9pJ_taskd.txt,d,light
g9pH_taska.txt,a,non
g1pJ_taske.txt,e,non
g5pJ_taska.txt,a,cut
g6pH_taskc.txt,c,heavy
g7pC_taske.txt,e,light
g9pI_taske.txt,e,non
g3pH_taskc.txt,c,cut
g2pH_taskc.txt,c,non
g6pF_taskb.txt,b,non
g4pB_taska.txt,a,cut
g3pH_taskd.txt,d,cut
g3pG_taskb.txt,b,non
g1pH_taskc.txt,c,heavy
g3pH_taske.txt,e,non
g5pH_taske.txt,e,light
g7pE_taska.txt,a,cut
g4pE_taskb.txt,b,non
g5pD_taskb.txt,b,non
g0pI_taskd.txt,d,non
g7pE_taskc.txt,c,light
g7pF_taskd.txt,d,non
g0pI_taskc.txt,c,non
g3pE_taska.txt,a,cut
g8pB_taskd.txt,d,non
g3pE_taskd.txt,d,light
g8pH_taska.txt,a,non
g1pA_taska.txt,a,non
g2pF_taskd.txt,d,cut
g7pE_taske.txt,e,light
g5pJ_taskc.txt,c,cut
g5pD_taskd.txt,d,non
g6pA_taskd.txt,d,non
g7pB_taskd.txt,d,heavy
g3pJ_taske.txt,e,non
g7pA_taskc.txt,c,non
g6pJ_taske.txt,e,light
g8pJ_taskc.txt,c,non
g0pE_taskb.txt,b,light
g8pG_taska.txt,a,non
g9pJ_taskb.txt,b,non
g7pF_taskb.txt,b,non
g7pG_taskd.txt,d,non
g8pD_taskd.txt,d,cut
g4pB_taskd.txt,d,non
g0pD_taska.txt,a,non
g4pJ_taskd.txt,d,heavy
g8pE_taskb.txt,b,non
g6pC_taskd.txt,d,cut
g8pB_taske.txt,e,non
g7pH_taskc.txt,c,heavy
g6pI_taske.txt,e,light
g4pG_taskc.txt,c,cut
g9pB_taska.txt,a,non
g6pJ_taske.txt,e,cut
g4pB_taske.txt,e,non
g1pF_taskd.txt,d,non
g8pF_taskb.txt,b,non
g9pD_taskc.txt,c,light
g2pJ_taskb.txt,b,non
g9pC_taske.txt,e,non
g9pI_taskc.txt,c,non
g9pI_taskb.txt,b,non
g0pJ_taskd.txt,d,heavy
g1pC_taskd.txt,d,non
g2pI_taskc.txt,c,non
g2pH_taske.txt,e,non
g2pF_taskd.txt,d,non
g5pG_taskd.txt,d,light
g2pG_taska.txt,a,cut
g7pJ_taska.txt,a,non
g5pH_taskb.txt,b,non
g0pA_taskd.txt,d,non
g2pI_taskc.txt,c,light
g6pG_taska.txt,a,non
g4pH_taskc.txt,c,light
g6pI_taskb.txt,b,non
g6pD_taskd.txt,d,cut
g1pJ_taske.txt,e,cut
g9pJ_taske.txt,e,heavy
g6pD_taske.txt,e,non
g5pF_taska.txt,a,non
g8pB_taskc.txt,c,light
g2pB_taskb.txt,b,cut
g1pD_taskc.txt,c,light
g1pD_taskc.txt,c,light
g8pF_taskd.txt,d,non
g7pI_taskb.txt,b,cut
g8pF_taskc.txt,c,cut
g8pD_taske.txt,e,non
g2pI_taskd.txt,d,non
g7pG_taska.txt,a,non
g2pB_taske.txt,e,non
g4pD_taskd.txt,d,non
g0pA_taskd.txt,d,non
g0pA_taske.txt,e,non
g2pJ_taska.txt,a,non
g4pG_taska.txt,a,cut
g4pH_taska.txt,a,non
g6pI_taskc.txt,c,light
g1pF_taska.txt,a,non
g4pH_taskb.txt,b,light
g3pH_taskb.txt,b,light
g2pH_taska.txt,a,non
g0pD_taskb.txt,b,cut
g9pG_taskb.txt,b,cut
g3pA_taska.txt,a,non
g8pC_taskb.txt,b,light
g6pH_taskd.txt,d,light
g6pD_taskb.txt,b,light
g8pD_taska.txt,a,non
g9pF_taskb.txt,b,light
g6pH_taskc.txt,c,cut
g8pC_taskb.txt,b,light
g3pD_taska.txt,a,non
g6pJ_taske.txt,e,light
g0pI_taske.txt,e,non
g7pF_taske.txt,e,non
g2pF_taskd.txt,d,non
g9pJ_taskc.txt,c,heavy
g0pH_taskb.txt,b,non
g3pA_taska.txt,a,cut
g5pG_taskb.txt,b,cut
g9pD_taskc.txt,c,cut
g0pD_taskd.txt,d,heavy
g9pI_taske.txt,e,cut
g8pH_taske.txt,e,heavy
g1pI_taskb.txt,b,cut
g8pG_taske.txt,e,non
g9pE_taskd.txt,d,non
g9pI_taska.txt,a,cut
g4pF_taske.txt,e,non
g1pJ_taskc.txt,c,light
g8pF_taskc.txt,c,light
g7pB_taska.txt,a,cut
g9pJ_taskc.txt,c,cut
g7pJ_taskd.txt,d,light
g0pJ_taskc.txt,c,non
g9pH_taskd.txt,d,cut
g3pJ_taskc.txt,c,cut
g6pD_taska.txt,a,non
g6pJ_taska.txt,a,cut
g1pG_taske.txt,e,non
g9pH_taske.txt,e,non
g7pD_taskc.txt,c,non
g5pG_taska.txt,a,cut
g5pE_taskb.txt,b,light
g4pB_taskc.txt,c,light
g2pJ_taskb.txt,b,cut
g9pD_taska.txt,a,non
g0pJ_taskb.txt,b,non
g6pA_taskb.txt,b,cut
g2pF_taske.txt,e,non
g9pI_taskb.txt,b,light
g0pI_taska.txt,a,cut
g5pC_taskd.txt,d,light
g9pH_taske.txt,e,cut
g3pG_taskc.txt,c,heavy
g2pA_taske.txt,e,non
g0pE_taskc.txt,c,cut
g7pF_taska.txt,a,non
g8pD_taska.txt,a,non
g6pJ_taskb.txt,b,non
g9pI_taske.txt,e,non
g1pJ_taske.txt,e,light
g1pF_taskb.txt,b,non
g1pH_taskb.txt,b,non
g4pD_taske.txt,e,heavy
g3pA_taskd.txt,d,non
g1pE_taska.txt,a,non
g9pJ_taska.txt,a,non
g5pG_taskd.txt,d,cut
g9pI_taskb.txt,b,heavy
g1pH_taska.txt,a,non
g6pA_taskb.txt,b,heavy
g2pH_taskc.txt,c,cut
g9pD_taskb.txt,b,cut
g4pE_taska.txt,a,non
g2pB_taskd.txt,d,light
g1pD_taskd.txt,d,non
g8pB_taskc.txt,c,heavy
g9pE_taske.txt,e,cut
g9pA_taskb.txt,b,heavy
g5pF_taskc.txt,c,non
g8pG_taskc.txt,c,cut
g6pE_taske.txt,e,light
g5pC_taskd.txt,d,heavy
g1pA_taskc.txt,c,cut
g2pI_taske.txt,e,non
g5pH_taska.txt,a,light
g1pD_taska.txt,a,non
g6pA_taskc.txt,c,light
g6pG_taske.txt,e,cut
g7pF_taske.txt,e,non
g7pD_taske.txt,e,non
g4pH_taskb.txt,b,non
g9pF_taskc.txt,c,non
g4pB_taskc.txt,c,cut
g8pC_taske.txt,e,non
g6pG_taske.txt,e,cut
g8pC_taska.txt,a,non
g0pI_taskc.txt,c,cut
g1pI_taskb.txt,b,non
g4pG_taska.txt,a,cut
g7pI_taska.txt,a,non
g2pF_taskc.txt,c,light
g7pI_taskc.txt,c,non
g0pF_taske.txt,e,cut
g5pG_taskd.txt,d,non
g5pI_taska.txt,a,light
g4pB_taskd.txt,d,cut
g3pB_taskb.txt,b,non
g4pJ_taskd.txt,d,light
g3pD_taskc.txt,c,heavy
g3pH_taske.txt,e,cut
g2pD_taska.txt,a,non
g1pC_taskd.txt,d,light
g0pH_taskb.txt,b,heavy
g0pG_taskd.txt,d,cut
g8pI_taskd.txt,d,non
g4pB_taskc.txt,c,cut
g3pJ_taskd.txt,d,non
g5pJ_taske.txt,e,non
g6pB_taskd.txt,d,cut
g3pE_taske.txt,e,non
g6pC_taske.txt,e,heavy
g6pB_taskb.txt,b,non
g0pI_taske.txt,e,non
g5pB_taskc.txt,c,non
g9pI_taskb.txt,b,light
g2pC_taska.txt,a,cut
g2pJ_taskc.txt,c,light
g8pH_taskb.txt,b,non
g9pA_taskd.txt,d,cut
g9pJ_taske.txt,e,heavy
g0pI_taskb.txt,b,heavy
g8pA_taskb.txt,b,non
g0pF_taska.txt,a,non
g0pH_taskc.txt,c,cut
g3pC_taskc.txt,c,heavy
g6pJ_taska.txt,a,non
g8pH_taska.txt,a,non
g9pI_taskd.txt,d,non
g6pJ_taskd.txt,d,light
g0pI_taskb.txt,b,light
g2pD_taska.txt,a,cut
g6pC_taske.txt,e,non
g2pF_taskb.txt,b,non
g6pG_taskc.txt,c,light
g9pH_taskd.txt,d,light
g7pI_taske.txt,e,cut
g6pC_taskc.txt,c,cut
g5pC_taske.txt,e,light
g9pA_taska.txt,a,cut
g4pA_taskb.txt,b,cut
g8pA_taske.txt,e,cut
g7pD_taskd.txt,d,cut
g2pD_taskb.txt,b,cut
g1pH_taskd.txt,d,non
g5pD_taskb.txt,b,non
g9pJ_taskd.txt,d,heavy
g7pJ_taskd.txt,d,non
g5pG_taske.txt,e,heavy
g2pC_taske.txt,e,non
g4pD_taska.txt,a,cut
g5pA_taske.txt,e,light
g9pC_taskb.txt,b,cut
g3pC_taska.txt,a,cut
g7pE_taskd.txt,d,heavy
g9pG_taskb.txt,b,heavy
g4pG_taske.txt,e,non
g8pB_taskb.txt,b,non
g2pJ_taska.txt,a,heavy
g3pA_taskb.txt,b,cut
g5pH_taskc.txt,c,cut
g5pB_taske.txt,e,non
g1pF_taskc.txt,c,non
g7pE_taska.txt,a,heavy
g1pD_taskd.txt,d,light
g4pJ_taskd.txt,d,non
g9pJ_taskb.txt,b,non
g7pG_taske.txt,e,cut
g2pG_taskd.txt,d,non
g2pC_taske.txt,e,light
g2pG_taske.txt,e,non
g6pE_taskd.txt,d,non
g0pB_taske.txt,e,cut
g1pC_taskc.txt,c,heavy
g4pF_taskc.txt,c,non
g8pH_taske.txt,e,non
g9pC_taske.txt,e,light
g6pJ_taska.txt,a,non
g4pG_taskb.txt,b,cut
g4pC_taske.txt,e,non
g2pF_taskd.txt,d,non
g4pF_taskb.txt,b,non
g3pG_taskc.txt,c,non
g6pB_taskd.txt,d,heavy
g1pD_taskd.txt,d,non
g7pI_taskd.txt,d,cut
g8pD_taskb.txt,b,light
g7pJ_taske.txt,e,light
g1pA_taskb.txt,b,non
g2pE_taskc.txt,c,light
g3pJ_taske.txt,e,non
g2pC_taskb.txt,b,light
g3pC_taskc.txt,c,cut
g4pJ_taskd.txt,d,heavy
g4pE_taske.txt,e,non
g6pB_taske.txt,e,non
g0pC_taske.txt,e,non
g6pI_taske.txt,e,light
g9pC_taskb.txt,b,cut
g7pG_taska.txt,a,cut
g7pC_taskc.txt,c,heavy
g6pG_taskb.txt,b,cut
g9pH_taskd.txt,d,light
g7pJ_taske.txt,e,light
g2pB_taskc.txt,c,cut
g0pA_taskd.txt,d,non
g4pI_taskb.txt,b,light
g9pB_taska.txt,a,non
g0pE_taskc.txt,c,light
g6pD_taske.txt,e,light
g5pC_taskd.txt,d,heavy
g0pF_taske.txt,e,non
g8pE_taske.txt,e,non
g8pE_taskb.txt,b,non
g7pF_taskd.txt,d,non
g1pA_taska.txt,a,non
g4pA_taska.txt,a,non
g9pF_taskb.txt,b,non
g9pB_taskb.txt,b,light
g5pC_taskd.txt,d,light
g7pJ_taskc.txt,c,heavy
g3pB_taskb.txt,b,heavy
g5pC_taska.txt,a,cut
g7pG_taskc.txt,c,light
g5pI_taskb.txt,b,heavy
g6pH_taskd.txt,d,cut
g2pD_taske.txt,e,non
g8pE_taskd.txt,d,cut
g0pC_taskd.txt,d,non
g2pI_taskb.txt,b,cut
g5pI_taska.txt,a,non
g7pJ_taskd.txt,d,non
g2pB_taske.txt,e,light
g3pA_taske.txt,e,non
g7pD_taskd.txt,d,heavy
g1pE_taske.txt,e,heavy
g8pC_taskb.txt,b,light
g4pD_taska.txt,a,non
g1pH_taskc.txt,c,light
g5pF_taskb.txt,b,non
g0pA_taske.txt,e,light
g1pA_taska.txt,a,non
